IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARITA,KOBIETA,1182
EULALIA,KOBIETA,1179
JAROSŁAWA,KOBIETA,1162
NADZEYA,KOBIETA,1160
LARISA,KOBIETA,1157
DŻESIKA,KOBIETA,1151
MARIAM,KOBIETA,1147
IRMGARDA,KOBIETA,1145
HANKA,KOBIETA,1134
KAYA,KOBIETA,1134
NELLY,KOBIETA,1121
ZOE,KOBIETA,1120
ULYANA,KOBIETA,1109
BOGDANA,KOBIETA,1105
MELANIIA,KOBIETA,1104
STEFANIIA,KOBIETA,1104
CAROLINA,KOBIETA,1102
LUDMILA,KOBIETA,1100
DAJANA,KOBIETA,1092
INKA,KOBIETA,1092
WIRGINIA,KOBIETA,1092
EMANUELA,KOBIETA,1070
KATERINA,KOBIETA,1070
NIKOLETTA,KOBIETA,1068
JÓZEFINA,KOBIETA,1066
ABIGAIL,KOBIETA,1063
ALIONA,KOBIETA,1054
ELIZAVETA,KOBIETA,1052
MELISSA,KOBIETA,1052
IDALIA,KOBIETA,1021
LEILA,KOBIETA,1018
LILIYA,KOBIETA,1016
ERNA,KOBIETA,1014
IRMA,KOBIETA,1005
BERENIKA,KOBIETA,1002
HANA,KOBIETA,998
CLARA,KOBIETA,993
YULIA,KOBIETA,993
RAMONA,KOBIETA,982
DZIYANA,KOBIETA,977
BALBINA,KOBIETA,976
TEOFILA,KOBIETA,973
LUBA,KOBIETA,970
MARIE,KOBIETA,966
NINO,KOBIETA,962
MONICA,KOBIETA,948
MICHAELA,KOBIETA,943
DARINA,KOBIETA,926
LIA,KOBIETA,924
FATIMA,KOBIETA,917
MIIA,KOBIETA,899
ŻAKLINA,KOBIETA,896
ARYNA,KOBIETA,893
INGRID,KOBIETA,886
LUNA,KOBIETA,878
SWIETŁANA,KOBIETA,875
KORNELA,KOBIETA,866
AMALIA,KOBIETA,864
TAISA,KOBIETA,862
TAMAR,KOBIETA,857
ROXANA,KOBIETA,854
LISA,KOBIETA,852
EMILA,KOBIETA,846
YAUHENIYA,KOBIETA,831
ORYSIA,KOBIETA,828
CHARLOTTE,KOBIETA,826
IWONNA,KOBIETA,825
SILVIA,KOBIETA,821
MYLANA,KOBIETA,815
INESA,KOBIETA,809
SYBILLA,KOBIETA,806
DOBRAWA,KOBIETA,803
BLANDYNA,KOBIETA,798
FILOMENA,KOBIETA,794
VALIANTSINA,KOBIETA,792
KAREN,KOBIETA,789
ELA,KOBIETA,785
LIGIA,KOBIETA,780
SEWERYNA,KOBIETA,772
BENEDYKTA,KOBIETA,770
LILI,KOBIETA,770
GRACJANA,KOBIETA,769
ELISA,KOBIETA,766
INHA,KOBIETA,762
LUCIA,KOBIETA,761
CELESTYNA,KOBIETA,760
LUBOMIRA,KOBIETA,756
ZOYA,KOBIETA,756
SELENA,KOBIETA,752
KUNEGUNDA,KOBIETA,751
LEONIA,KOBIETA,742
TINA,KOBIETA,737
SŁAWA,KOBIETA,736
MARGARETA,KOBIETA,734
JASMINA,KOBIETA,732
IANA,KOBIETA,730
GABRYELA,KOBIETA,728
NOA,KOBIETA,726
GIULIA,KOBIETA,724
